#emin_bin, emax_bin, effArea_bottom, effArea_bottom_error, effArea_noBottom, effArea_noBottom_error
-24.9899, 0.01, 0, 0, 0, 0
0.01, 0.0106782, 0, 0, 0, 0
0.0106782, 0.0114023, 0, 0, 0, 0
0.0114023, 0.0121755, 0, 0, 0, 0
0.0121755, 0.0130011, 0, 0, 0, 0
0.0130011, 0.0138828, 0, 0, 0, 0
0.0138828, 0.0148242, 0, 0, 0, 0
0.0148242, 0.0158294, 0, 0, 0, 0
0.0158294, 0.0169029, 0, 0, 0, 0
0.0169029, 0.0180491, 0, 0, 0, 0
0.0180491, 0.019273, 0, 0, 0, 0
0.019273, 0.02058, 0, 0, 0, 0
0.02058, 0.0219755, 0, 0, 0, 0
0.0219755, 0.0234658, 0, 0, 0, 0
0.0234658, 0.025057, 0, 0, 0, 0
0.025057, 0.0267562, 0, 0, 0, 0
0.0267562, 0.0285706, 0, 0, 0, 0
0.0285706, 0.030508, 0, 0, 0, 0
0.030508, 0.0325768, 0, 0, 0, 0
0.0325768, 0.0347859, 0, 0, 0, 0
0.0347859, 0.0371448, 0, 0, 0, 0
0.0371448, 0.0396637, 0, 0, 0, 0
0.0396637, 0.0423534, 18.3557, 0.554283, 18.3557, 0.554283
0.0423534, 0.0452254, 24.964, 0.651059, 24.964, 0.651059
0.0452254, 0.0482923, 29.097, 0.705834, 29.097, 0.705834
0.0482923, 0.0515671, 30.6041, 0.731946, 30.6041, 0.731946
0.0515671, 0.0550639, 29.8197, 0.715776, 29.8197, 0.715776
0.0550639, 0.0587979, 32.6417, 0.750688, 32.6417, 0.750688
0.0587979, 0.0627852, 34.9007, 0.783383, 34.9007, 0.783383
0.0627852, 0.0670428, 36.8637, 0.796575, 36.8637, 0.796575
0.0670428, 0.0715891, 39.0154, 0.827977, 39.0154, 0.827977
0.0715891, 0.0764437, 40.406, 0.843245, 40.406, 0.843245
0.0764437, 0.0816275, 42.0359, 0.863973, 42.0359, 0.863973
0.0816275, 0.0871628, 45.5805, 0.899244, 45.5964, 0.899417
0.0871628, 0.0930735, 47.1378, 0.91759, 47.1378, 0.91759
0.0930735, 0.099385, 47.4625, 0.92051, 47.4785, 0.920681
0.099385, 0.106125, 49.6489, 0.938505, 49.6804, 0.938836
0.106125, 0.113321, 49.964, 0.94766, 50.028, 0.948333
0.113321, 0.121006, 52.3559, 0.972458, 52.3878, 0.972789
0.121006, 0.129211, 50.1106, 0.952577, 50.2555, 0.954106
0.129211, 0.137973, 52.368, 0.978838, 52.6431, 0.981704
0.137973, 0.14733, 49.9598, 0.95062, 50.3457, 0.954694
0.14733, 0.15732, 50.7056, 0.954462, 51.1839, 0.959462
0.15732, 0.167988, 50.6543, 0.954344, 51.165, 0.959686
0.167988, 0.17938, 49.0007, 0.935906, 49.6536, 0.942805
0.17938, 0.191544, 49.1824, 0.934118, 49.9724, 0.942417
0.191544, 0.204533, 45.8132, 0.906768, 46.8116, 0.917621
0.204533, 0.218403, 44.8779, 0.893309, 45.7892, 0.903257
0.218403, 0.233213, 43.0582, 0.880803, 44.148, 0.892977
0.233213, 0.249028, 40.0301, 0.835044, 41.3602, 0.850086
0.249028, 0.265915, 37.2093, 0.804189, 38.386, 0.817905
0.265915, 0.283948, 37.4395, 0.809205, 38.9429, 0.826709
0.283948, 0.303203, 34.9211, 0.783678, 36.3445, 0.800797
0.303203, 0.323763, 33.8251, 0.764884, 35.4358, 0.784336
0.323763, 0.345719, 30.8287, 0.731319, 32.8421, 0.756583
0.345719, 0.369162, 30.5318, 0.724973, 32.3711, 0.748083
0.369162, 0.394196, 29.3189, 0.71395, 31.3274, 0.739725
0.394196, 0.420927, 27.3478, 0.681386, 29.4613, 0.708972
0.420927, 0.449471, 26.3118, 0.667505, 28.3138, 0.694057
0.449471, 0.479951, 26.0287, 0.66719, 28.1643, 0.695759
0.479951, 0.512497, 24.9095, 0.648766, 27.0092, 0.677222
0.512497, 0.547251, 23.7272, 0.632867, 25.6713, 0.659791
0.547251, 0.584361, 22.5154, 0.615821, 24.2695, 0.640684
0.584361, 0.623988, 21.6264, 0.604971, 23.9865, 0.638907
0.623988, 0.666302, 22.1011, 0.609174, 24.5992, 0.644579
0.666302, 0.711485, 20.6045, 0.586676, 22.7809, 0.618477
0.711485, 0.759733, 20.8911, 0.59276, 22.8891, 0.621929
0.759733, 0.811252, 20.212, 0.582925, 22.2925, 0.613704
0.811252, 0.866264, 19.1172, 0.567029, 21.2681, 0.59961
0.866264, 0.925007, 19.0446, 0.566255, 21.3267, 0.600852
0.925007, 0.987734, 17.5683, 0.542199, 19.6842, 0.575374
0.987734, 1.05471, 17.9929, 0.549353, 20.1116, 0.582267
1.05471, 1.12624, 17.3044, 0.537327, 19.4155, 0.570598
1.12624, 1.20261, 16.9324, 0.532477, 18.9887, 0.565273
1.20261, 1.28416, 16.6634, 0.525094, 18.3789, 0.552597
1.28416, 1.37124, 16.3203, 0.523643, 18.4188, 0.557692
1.37124, 1.46423, 16.0253, 0.519682, 18.4558, 0.559327
1.46423, 1.56352, 16.3178, 0.519973, 18.2918, 0.551831
1.56352, 1.66955, 15.1418, 0.501799, 17.1767, 0.535764
1.66955, 1.78276, 14.2117, 0.486135, 16.5723, 0.526452
1.78276, 1.90366, 14.0416, 0.482951, 16.208, 0.520227
1.90366, 2.03275, 12.741, 0.458153, 14.7368, 0.493921
2.03275, 2.17059, 13.9867, 0.481859, 16.2804, 0.521308
2.17059, 2.31778, 12.8342, 0.459832, 14.7977, 0.494928
2.31778, 2.47496, 13.5709, 0.472476, 15.8301, 0.511681
2.47496, 2.64279, 12.7958, 0.459865, 15.0699, 0.500432
2.64279, 2.822, 12.443, 0.450966, 14.8207, 0.493586
2.822, 3.01337, 11.9542, 0.441513, 14.5034, 0.487817
3.01337, 3.21771, 11.4353, 0.431322, 13.8711, 0.476446
3.21771, 3.43591, 12.2851, 0.450055, 14.4765, 0.489847
3.43591, 3.66891, 12.494, 0.455458, 15.1183, 0.502605
3.66891, 3.9177, 10.5352, 0.41576, 13.3967, 0.470469
3.9177, 4.18337, 10.309, 0.413364, 13.1367, 0.46823
4.18337, 4.46705, 11.5797, 0.438362, 14.4343, 0.491114
4.46705, 4.76997, 10.513, 0.41269, 13.2439, 0.464737
4.76997, 5.09344, 10.413, 0.415958, 13.6842, 0.478736
5.09344, 5.43883, 9.43606, 0.391706, 12.8832, 0.459619
5.43883, 5.80765, 10.4516, 0.412422, 13.4967, 0.470401
5.80765, 6.20148, 9.71808, 0.397899, 13.2172, 0.466014
6.20148, 6.62202, 9.40783, 0.391511, 12.7985, 0.458531
6.62202, 7.07107, 8.12767, 0.364252, 12.0635, 0.445903
7.07107, 7.55057, 8.68018, 0.374459, 12.8385, 0.457715
7.55057, 8.06259, 9.38221, 0.390763, 13.9302, 0.478783
8.06259, 8.60933, 8.68965, 0.379745, 13.0264, 0.467406
8.60933, 9.19315, 7.73476, 0.356439, 12.9235, 0.463658
9.19315, 9.81656, 7.09563, 0.341258, 12.9334, 0.464019
9.81656, 10.4822, 7.70895, 0.354869, 13.1902, 0.467299
10.4822, 11.1931, 7.42169, 0.348477, 13.5904, 0.475118
11.1931, 11.9521, 7.25286, 0.341963, 13.8089, 0.475633
11.9521, 12.7626, 6.90427, 0.335036, 13.8245, 0.478101
12.7626, 13.628, 6.81281, 0.333272, 14.1386, 0.484411
13.628, 14.5522, 6.40876, 0.323805, 14.2506, 0.487488
14.5522, 15.539, 5.59051, 0.300477, 14.0161, 0.480689
15.539, 16.5927, 5.58436, 0.300573, 14.1045, 0.482677
16.5927, 17.7179, 4.8661, 0.281246, 14.1326, 0.484752
17.7179, 18.9194, 4.71826, 0.275856, 14.4895, 0.489214
18.9194, 20.2024, 4.34731, 0.264054, 14.8824, 0.494884
20.2024, 21.5723, 4.11129, 0.258273, 15.1604, 0.502693
21.5723, 23.0352, 3.36698, 0.232766, 13.8828, 0.478769
23.0352, 24.5973, 3.47687, 0.237049, 15.2053, 0.502878
24.5973, 26.2653, 3.09183, 0.223414, 16.3082, 0.521447
26.2653, 28.0464, 3.0721, 0.223141, 15.5374, 0.509525
28.0464, 29.9483, 2.02207, 0.180595, 15.4062, 0.506719
29.9483, 31.9791, 1.94764, 0.17676, 16.0121, 0.51561
31.9791, 34.1477, 1.60688, 0.16101, 16.1973, 0.520394
34.1477, 36.4633, 1.59974, 0.160294, 15.8055, 0.512677
36.4633, 38.936, 1.22938, 0.141236, 16.4025, 0.525553
38.936, 41.5763, 1.21697, 0.139809, 16.4612, 0.523867
41.5763, 44.3957, 0.89141, 0.120332, 17.0178, 0.536237
44.3957, 47.4062, 0.814566, 0.114178, 16.6427, 0.526189
47.4062, 50.6209, 0.710709, 0.107239, 17.267, 0.539393
50.6209, 54.0536, 0.701698, 0.105878, 17.8774, 0.545752
54.0536, 57.7191, 0.546207, 0.0937376, 18.1051, 0.551382
57.7191, 61.6332, 0.677447, 0.104621, 17.1297, 0.536777
61.6332, 65.8127, 0.542005, 0.0930161, 17.5992, 0.541202
65.8127, 70.2756, 0.367324, 0.0766275, 17.7913, 0.544771
70.2756, 75.0411, 0.447249, 0.0845693, 17.8261, 0.545369
75.0411, 80.1298, 0.368737, 0.0769225, 17.8918, 0.547424
80.1298, 85.5636, 0.255011, 0.063773, 18.7114, 0.558727
85.5636, 91.3658, 0.306044, 0.0702382, 18.7331, 0.56203
91.3658, 97.5615, 0.417218, 0.0818659, 18.9834, 0.564873
97.5615, 104.177, 0.434118, 0.0835915, 20.0981, 0.582566
104.177, 111.242, 0.223134, 0.0596518, 19.2214, 0.566635
111.242, 118.785, 0.346048, 0.0738096, 20.0236, 0.575088
118.785, 126.84, 0.239875, 0.0619541, 19.6058, 0.573496
126.84, 135.442, 0.224737, 0.0600804, 20.2424, 0.584284
135.442, 144.626, 0.191022, 0.0551565, 19.2136, 0.566166
144.626, 154.434, 0.318598, 0.0712691, 19.6734, 0.57342
154.434, 164.906, 0.144689, 0.0482383, 20.1278, 0.582982
164.906, 176.089, 0.209256, 0.0580522, 21.1509, 0.598715
176.089, 188.03, 0.112058, 0.04236, 20.2986, 0.584325
188.03, 200.781, 0.176686, 0.0532845, 20.8168, 0.593099
200.781, 214.396, 0.255163, 0.0638111, 21.4975, 0.60105
214.396, 228.935, 0.159853, 0.05056, 21.6601, 0.604145
228.935, 244.459, 0.241264, 0.0623129, 21.0382, 0.59681
244.459, 261.036, 0.127617, 0.0451267, 21.9661, 0.607988
261.036, 278.738, 0.316568, 0.0708149, 23.0778, 0.621579
278.738, 297.64, 0.177112, 0.0534132, 21.012, 0.596731
297.64, 317.823, 0.176035, 0.0530883, 20.4841, 0.587025
317.823, 339.375, 0.222948, 0.0596019, 21.8648, 0.605992
339.375, 362.389, 0.206965, 0.0574167, 22.1771, 0.610445
362.389, 386.964, 0.225488, 0.0602812, 21.1476, 0.598846
386.964, 413.204, 0.0965406, 0.0394173, 22.6227, 0.620152
413.204, 441.225, 0.178123, 0.0537181, 22.1359, 0.615047
441.225, 471.145, 0.143421, 0.0478154, 21.0031, 0.593525
471.145, 503.094, 0.160269, 0.0506917, 22.8223, 0.621805
503.094, 537.21, 0.078638, 0.0351714, 21.7513, 0.600581
537.21, 573.639, 0.192408, 0.0555567, 21.9345, 0.609084
573.639, 612.539, 0.191862, 0.055399, 22.192, 0.611966
612.539, 654.077, 0.192215, 0.0555011, 23.178, 0.626718
654.077, 698.431, 0.223776, 0.0598234, 21.7383, 0.605267
698.431, 745.793, 0.12883, 0.0455555, 23.1088, 0.627405
745.793, 796.367, 0.239569, 0.0618749, 23.7333, 0.633672
796.367, 850.37, 0.16, 0.0506066, 22.496, 0.616586
850.37, 908.036, 0.144729, 0.0482519, 22.7064, 0.621185
908.036, 969.611, 0.206636, 0.0573254, 23.7632, 0.63258
969.611, 1035.36, 0.226436, 0.0605348, 22.7569, 0.623707
1035.36, 1105.57, 0.225416, 0.0602618, 22.1551, 0.61358
1105.57, 1180.54, 0.176409, 0.0532011, 23.5105, 0.631826
1180.54, 1260.6, 0.112323, 0.0424602, 22.4005, 0.616095
1260.6, 1346.08, 0.176063, 0.0530968, 22.12, 0.611249
1346.08, 1437.36, 0.237314, 0.0612923, 22.8454, 0.618124
1437.36, 1534.83, 0.208785, 0.0579217, 23.5445, 0.632765
1534.83, 1638.91, 0.128793, 0.0455427, 23.215, 0.628835
1638.91, 1750.05, 0.270303, 0.0655801, 23.246, 0.625376
1750.05, 1868.73, 0.241439, 0.0623581, 24.1922, 0.642609
1868.73, 1995.45, 0.193424, 0.0558501, 24.1779, 0.642862
1995.45, 2130.77, 0.271761, 0.0659341, 22.7959, 0.620631
2130.77, 2275.26, 0.223973, 0.0598761, 23.6612, 0.633186
2275.26, 2429.55, 0.128659, 0.045495, 22.5635, 0.619148
2429.55, 2594.3, 0.159426, 0.050425, 24.0096, 0.636986
2594.3, 2770.23, 0.0952041, 0.0388715, 23.0235, 0.62157
2770.23, 2958.08, 0.190272, 0.05494, 23.6255, 0.629867
2958.08, 3158.67, 0.173769, 0.0524046, 22.8427, 0.617622
3158.67, 3372.87, 0.175649, 0.0529717, 22.8663, 0.621291
3372.87, 3601.59, 0.22567, 0.0603298, 23.7437, 0.63675
3601.59, 3845.82, 0.207279, 0.0575037, 24.14, 0.63885
3845.82, 4106.62, 0.0798882, 0.0357306, 24.3819, 0.642892
4106.62, 4385.09, 0.112635, 0.0425781, 23.8304, 0.637412
4385.09, 4682.46, 0.159904, 0.0505762, 23.1221, 0.625384
